NU_ANO;CO_CURSO;DS_VT_ACE_OFG;DS_VT_ACE_OCE;NT_FG_D1_CT;NT_FG_D2_CT;NT_CE_D1;NT_CE_D2;NT_CE_D3
2022;13089;01111111;019090000100001009110100010;75;75;15;35;0
2022;13089;01011111;019190100101010009001100110;25;25;15;45;0
2022;13089;11111101;019190100100010009000010011;75;75;35;32.5;0
2022;13089;01111111;119090000001110009110000010;75;87.5;42.5;0;45
2022;13089;11100111;119091001101100109011001011;0;0;0;0;0
2022;13089;11111101;019090011111101109000010000;12.5;62.5;35;25;22.5
2022;13089;01111101;019190001110100119010001110;0;50;27.5;35;12.5
2022;13089;01110111;119091110111100009000001000;100;87.5;25;60;35
2022;13089;01100111;009191001110100109110011111;75;50;0;0;0
2022;13089;11110101;119091101111000009110000111;75;75;0;32.5;22.5
2022;13089;11101111;019190001111000009110100111;62.5;62.5;42.5;25;47.5
2022;13089;10111111;119091001111010019010100010;75;75;27.5;50;10
2022;13089;11011111;019090011111111109110010100;75;50;0;0;25
2022;13089;10111101;019090100111100119110000111;100;75;27.5;45;10
2022;13089;01111111;019090110101101019000110111;50;75;37.5;30;35
2022;13089;11101111;019091000111100109111101010;62.5;62.5;17.5;57.5;25
2022;13089;01100111;019191000111110109111100010;87.5;100;15;25;32.5
2022;13089;11110111;019191111100101109011010100;37.5;100;20;7.5;25
2022;13089;01110111;009191111101100109011100110;37.5;87.5;17.5;55;47.5
2022;13089;11111101;019090010110101109011111011;12.5;75;27.5;65;45
2022;13089;01100111;019191101110011009111001110;75;75;42.5;50;25
2022;13089;11111111;019190111110000109110010111;100;37.5;17.5;55;0
2022;13089;11110111;019091101111000119011101111;62.5;75;0;0;0
2022;13089;01100101;019090011111001119011111111;50;75;27.5;25;35
2022;13089;11101111;019091110101110109110100011;75;87.5;35;47.5;35
2022;13089;01111111;119091111111100109100001011;75;62.5;72.5;0;0
2022;13089;01111111;119091111111100019010101001;75;87.5;27.5;22.5;0
2022;13089;01111111;019091101101110119000101111;100;50;45;25;25
2022;13089;11011000;019191111111100119111000001;87.5;87.5;70;25;55
2022;13089;01111111;019191010111100109010011111;100;75;35;45;0
2022;13089;11110101;019091111101111109000011110;87.5;87.5;17.5;75;25
2022;13089;01101101;019190110111001019101111111;87.5;62.5;27.5;22.5;22.5
2022;13089;11111111;019091101011011119010110010;75;75;25;85;35
2022;13089;11110111;119091110001110119011001100;100;100;60;57.5;25
2022;13089;11110111;019191101110101109010111110;87.5;50;27.5;40;12.5
2022;13089;01111101;119090011111001109111111011;50;50;50;35;25
2022;13089;11111111;019191010101100109011111010;100;100;35;32.5;35
2022;13089;11111111;019091101101100119010111110;50;100;37.5;47.5;12.5
2022;13089;11101111;019091101110010109111101111;75;75;27.5;15;35
2022;13089;01100101;119091111110000119101111111;75;100;20;32.5;25
2022;13089;01110101;019091100111101119101111111;87.5;62.5;25;32.5;10
2022;13089;11111111;119090111111000009111110111;75;87.5;20;32.5;22.5
2022;13089;11111111;019091011111000119110110111;62.5;87.5;35;32.5;12.5
2022;13089;01111111;019191011111010009111111011;62.5;62.5;27.5;15;47.5
2022;13089;01111111;019191111111110009110111110;62.5;62.5;15;25;12.5
2022;13089;11000111;019191111101111009110110111;100;75;45;22.5;25
2022;13089;01101111;019191110111110109100111110;75;100;27.5;60;22.5
2022;13089;01110111;019091111101110119010111110;87.5;62.5;45;60;45
2022;13089;11110111;019191011110110109010111111;75;100;27.5;25;25
2022;13089;11101111;019091111101100109111111011;50;87.5;37.5;42.5;37.5
2022;13089;11111111;019091111101110109011111111;62.5;75;0;0;0
2022;13089;11111111;019190111110101109010011111;100;100;42.5;22.5;22.5
2022;13089;11101110;019091110101110009111111110;87.5;100;70;57.5;77.5
2022;13089;11110101;019191111111001119111111010;87.5;50;32.5;25;0
2022;13089;10111111;019191110111110119110111110;62.5;62.5;7.5;17.5;12.5
2022;13089;11111111;119191111111000109011111011;50;50;35;57.5;10
2022;13089;11111111;119091110111010119110110011;75;62.5;52.5;47.5;35
2022;13089;01110111;019091111011111109110111111;100;50;37.5;47.5;10
2022;13089;11101111;019191111111000119010111111;75;87.5;27.5;40;35
2022;13089;11111111;119091001101100009111111111;75;100;90;50;42.5
2022;13089;01110111;019091111111110119110101111;87.5;75;37.5;57.5;0
2022;13089;01111111;019191101101111109010111111;62.5;100;52.5;35;45
2022;13089;01101111;019191101111111019110111111;87.5;87.5;15;22.5;12.5
2022;13089;11110111;119091111110110109011110111;62.5;75;100;42.5;32.5
2022;13089;01110111;019191111111110109111110111;75;75;35;50;0
2022;13089;01111111;019190011111101119111111011;75;75;20;62.5;32.5
2022;13089;01111111;119090111111100119111111111;37.5;87.5;32.5;15;35
2022;13089;11100111;019191101111110119011111111;62.5;75;37.5;50;32.5
2022;13089;11100111;019191101111110119110111111;75;100;45;22.5;32.5
2022;13089;11111111;119091111101110109010111111;87.5;62.5;55;72.5;45
2022;13089;11110111;119191111111110119010110111;75;75;45;30;35
2022;13089;01110111;019191111101101109111111111;100;75;57.5;30;45
2022;13089;11111111;119191111100110119110011111;62.5;100;55;40;45
2022;13089;01111111;119091111111100119111111110;75;87.5;72.5;32.5;35
2022;13089;11111111;119191111111110119101111011;50;100;17.5;25;22.5
2022;13089;11111111;019191111111101119010111111;62.5;75;55;32.5;52.5
2022;13089;01111111;019191111111111119101111110;100;100;45;32.5;45
2022;13089;01111111;119191101111111119111111011;75;75;55;25;35
2022;13089;11110111;119191111101101109111111111;100;100;35;50;55
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;;;;;;;
2022;13090;01000001;090090000900019001001001019;0;0;0;0;0
2022;13090;00111100;091090000900109000010000019;0;0;0;0;0
2022;13090;01100100;090090000900009011000000019;50;75;20;46.7;20
2022;13090;11111101;191090011900009000000000009;0;0;0;0;0
2022;13090;00110100;091190000900009000001001009;50;87.5;0;20;20
2022;13090;01100111;090091000900109000000010009;37.5;62.5;10;40;20
2022;13090;10000000;090090011900019000100000009;100;100;0;30;60
2022;13090;00101110;091190001910109100010000009;0;0;0;0;0
2022;13090;00111100;090191000900009100100000019;87.5;12.5;10;20;0
2022;13090;11100101;190090001900009000100000009;87.5;100;0;46.7;0
2022;13090;11110110;190090000901009000010000009;50;75;20;63.3;0
2022;13090;01100101;091191100900009000000000019;87.5;87.5;10;30;0
2022;13090;00000000;191191101910119100001000009;0;0;0;0;0
2022;13090;01011110;190190000900119101000000019;12.5;50;0;0;0
2022;13090;00101110;190191111910109000010000009;0;0;0;0;0
2022;13090;01110101;090091011900109000010000009;75;37.5;50;46.7;20
2022;13090;01111111;190090001901009000010000009;25;75;0;63.3;40
2022;13090;10111111;090190010900009000010110009;75;75;0;20;0
2022;13090;01111111;190190010900009000001010009;50;75;0;0;40
2022;13090;01100101;190190010901009000011000009;75;87.5;50;40;0
2022;13090;11110101;190191000900009100000000019;75;75;20;30;40
2022;13090;01110101;190091100900109000001010019;50;12.5;30;46.7;40
2022;13090;00000000;190190111900109001101011009;50;0;40;20;40
2022;13090;01101000;190191101910009000000001119;25;62.5;10;16.7;20
2022;13090;10110001;090091010900009001110100019;75;75;0;20;60
2022;13090;01101111;190090010900009000110110009;62.5;75;40;16.7;20
2022;13090;01101100;190191100901009010010110019;50;0;0;0;0
2022;13090;01111101;190090001900119000000111009;50;75;50;0;0
2022;13090;00100101;090191100900009010010101119;50;75;10;20;20
2022;13090;01101111;090091000910009000100011019;100;87.5;30;30;20
2022;13090;11111111;090190000910009011000000019;100;100;50;0;0
2022;13090;01101111;090190111910009011100000009;75;50;0;10;0
2022;13090;00111011;190091000910109000100001119;100;50;30;10;20
2022;13090;01110010;091190011910019000000110109;62.5;75;0;46.7;0
2022;13090;01101101;090191000910109001011001009;37.5;50;60;20;60
2022;13090;11111111;091191000900009000000010019;75;100;40;46.7;60
2022;13090;11110111;191091010910009000011000019;75;75;0;0;0
2022;13090;01110101;190190000911109000010100019;100;87.5;40;20;20
2022;13090;11110111;090191010900009001100110019;37.5;50;30;46.7;20
2022;13090;11111101;190090100910109000011110009;62.5;75;30;20;0
2022;13090;11110111;090191011901009000001100119;25;75;0;20;0
2022;13090;01111101;191190000900019001000011109;100;75;20;40;20
2022;13090;01010111;090091100900109100110101009;100;87.5;50;40;20
2022;13090;01110001;090190101900009110010110119;50;75;40;20;20
2022;13090;01111111;191091100900019001000100109;75;75;20;40;0
2022;13090;01101101;090191010910109010010100019;50;87.5;20;30;40
2022;13090;11111111;190191001910019010000001109;50;0;0;30;40
2022;13090;11111111;091190000910019000001111009;50;75;20;30;0
2022;13090;01100111;190090010911019001111001119;12.5;12.5;10;20;0
2022;13090;00110101;191191110901109000000110019;62.5;62.5;20;20;0
2022;13090;01110101;191191000900109000001001019;87.5;100;60;80;20
2022;13090;01001111;191191001910109010001100019;100;37.5;0;0;0
2022;13090;11111111;191191001900109001010010109;50;0;20;10;0
2022;13090;01100110;191090110900009111011100119;62.5;50;0;0;20
