"NU_ANO","CO_CURSO","NU_ITEM_OFG","NU_ITEM_OFG_Z","NU_ITEM_OFG_X","NU_ITEM_OFG_N","NU_ITEM_OCE","NU_ITEM_OCE_Z","NU_ITEM_OCE_X","NU_ITEM_OCE_N","DS_VT_GAB_OFG_FIN","DS_VT_GAB_OCE_FIN","DS_VT_ESC_OFG","DS_VT_ACE_OFG","DS_VT_ESC_OCE","DS_VT_ACE_OCE","TP_PRES","TP_PR_GER","TP_PR_OB_FG","TP_PR_DI_FG","TP_PR_OB_CE","TP_PR_DI_CE","TP_SFG_D1","TP_SFG_D2","TP_SCE_D1","TP_SCE_D2","TP_SCE_D3","NT_GER","NT_FG","NT_OBJ_FG","NT_DIS_FG","NT_FG_D1","NT_FG_D1_PT","NT_FG_D1_CT","NT_FG_D2","NT_FG_D2_PT","NT_FG_D2_CT","NT_CE","NT_OBJ_CE","NT_DIS_CE","NT_CE_D1","NT_CE_D2","NT_CE_D3","CO_RS_I1","CO_RS_I2","CO_RS_I3","CO_RS_I4","CO_RS_I5","CO_RS_I6","CO_RS_I7","CO_RS_I8","CO_RS_I9"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","EBAEDECC","00101101","CAABDBDBCADEBEBCEDEDECADDCE","111190100019109900009009100",555,555,555,555,555,555,555,555,555,555,333,"41.9","51.7",50,"54.3","67.5","87.5","62.5",41,55,"37.5","38.6","38.1","41.1","73.3",50,0,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","BDAEBDCC",11100001,"CAACBDACAAB*DBECEAABEBAADBD","111090001009009901019009111",555,555,555,555,555,555,555,555,333,555,333,"42.1","51.4",50,"53.5","33.5","67.5",25,"73.5","67.5",75,39,"42.9","16.7",0,50,0,"D","C","B","E","D","C","A","B","A"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","DDAEDEAC","01101101","EEADAEDCBBBABCDCDBACECDBDBD","001091100009119900009009111",555,555,555,555,555,555,555,555,555,555,555,"42.6","62.2","62.5","61.8","55.5","77.5",50,68,90,"62.5","36.1","38.1",25,0,25,50,"D","C","B","E","E","C","B","B","A"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","DDBEDEAC","01001101","CEBBADAEBBBDBBCCECBAAECDDBE","100190010009109900109109110",555,555,555,555,555,555,555,555,333,555,333,"42.9","59.3",50,"73.3",100,100,100,"46.5","32.5",50,"37.4","38.1","33.3",0,100,0,"C","C","C","D","D","C","B","C","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","ADACCECC","01110101","ACAABDDEAEBDBBBACEDCEEDEDEE","001090111009109910009109100",555,555,555,555,555,555,555,555,333,555,555,43,"63.7","62.5","65.5","77.5","87.5",75,"53.5","67.5",50,"36.1","38.1",25,0,25,50,"C","C","C","B","C","C","B","C","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","BDAEAEBC",11100101,"CCDCADDDACDADCCCDDBBECAADAE","100090101119019900119009100",555,555,555,555,555,555,555,555,333,555,555,"43.7","61.5","62.5",60,49,45,50,71,55,75,"37.7","42.9","8.3",0,25,0,"D","C","B","B","D","C","B","C","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","ADAEDEAC","01101101","CAABDCACAACAEEECEBABCCEBDCD","111190001009009900019019101",555,555,555,555,555,555,555,555,555,555,555,44,42,"62.5","11.3","15.5","77.5",0,7,35,0,"44.7","42.9",55,90,50,25,"D","B","C","D","C","C","B","C","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","DDAEDECE","01101100","CEAABBDEACCABEEADAECAADBDAD","101090111109109901009009101",555,555,555,555,555,555,555,555,555,555,555,"46.6","57.3",50,"68.3","55.5","77.5",50,81,55,"87.5",43,"47.6","16.7",0,50,0,"D","C","B","E","D","C","B","C","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","DDDEADCC","01000001","CAABABDCBACDBBCCCDCBCBEADBD","111190100009109910019019111",555,555,555,555,555,555,555,555,555,555,555,"46.7","33.9",25,"47.3",51,55,50,"43.5","67.5","37.5",51,"57.1","16.7",0,50,0,"D","C","B","E","E","C","A","C","A"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","EDACDEDC","01111111","EEAEBADEBADABDECEBCBEEEADBD","001090110019109900019119111",555,555,555,555,555,333,333,555,333,555,335,"46.8","53.8","87.5","3.3",0,0,0,"6.5","32.5",0,"44.5","52.4",0,0,0,0,"D","A","B","B","C","D","A","D","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","ADACDECC","01111101","DEAAAADCAADABCCEEAECEEEADCE","001090101019119901009119100",555,555,555,555,555,333,555,555,333,333,333,"48.1","70.8",75,"64.5","75.5","77.5",75,"53.5","67.5",50,"40.5","47.6",0,0,0,0,,,,,,,,,
